Open,High,Low,Close,Price_5,Price_10,Price_20,Price_60,Price_120,Volume,Volume_5,Volume_10,Volume_20,Volume_60,Volume_120,Volume Ratio,OBV,MACD,MACD_Signal,Momentum,Momentum_Signal,William_R,William_D,Psychology,Psychology_Signal,MFI,MFI_Signal,RSI,RSI_Signal,
135400,139500,133000,135500,137180,137350,129580,43193.33,21596.67,104284,156031,213836.7,255308.3,85102.77,42551.38,167.3,1220988,6021.98,5851.88,15500,12966.11,-0.371,-0.336,0.4,0.4654,59.87,55.78,0.6367,0.6663,
138400,141700,137000,139900,137580,138180,130960,45525,22762.5,230128,152887.2,211571.8,253970.5,88938.23,44469.12,179.99,1451116,6017.05,5884.91,21200,14612.89,-0.2518,-0.2939,0.4,0.4572,65.69,57.76,0.6773,0.6685,
143000,149100,141500,148900,139820,139070,132415,48006.67,24003.33,300414,176987.2,210454.5,242405.95,93945.13,46972.57,167.24,1751530,6662.56,6040.44,21400,15970.31,-0.008,-0.1509,0.4,0.4501,66.57,59.53,0.6783,0.6704,
150500,154500,137500,139800,139920,140000,133280,50336.67,25168.33,340802,218620.2,210603.9,236600.6,99625.17,49812.58,119.59,1410728,6366.45,6105.64,12800,15336.25,-0.4933,-0.3221,0.4,0.4438,57.77,59.17,0.5933,0.655,
140100,143600,134700,135800,139980,139260,133910,52600,26300,160668,227259.2,200297.1,227612.85,102302.97,51151.48,96.59,1250060,5742.81,6033.08,6700,13609,-0.7792,-0.5506,0.3,0.4259,53.32,58,0.5475,0.6335,
136000,137500,125900,127000,138280,137730,134360,54716.67,27358.33,295690,265540.4,210785.7,221666.65,107231.13,53615.57,101.82,954370,4486.77,5723.82,-4600,9967.2,-0.9615,-0.7561,0.3,0.4101,45.22,55.45,0.4701,0.6008,
124300,126400,115500,119000,134100,135840,134310,56700,28350,415598,302634.4,227760.8,227600.7,114157.77,57078.88,74.25,538772,2813.39,5141.73,-21000,3773.76,-0.9103,-0.8332,0.3,0.3964,35.02,51.36,0.3626,0.5532,
121000,125300,117500,123000,128920,134370,134525,58750,29375,205554,283662.4,230324.8,230857.3,117583.67,58791.83,86.79,744326,1789.35,4471.26,-7500,1519.01,-0.8077,-0.8204,0.4,0.3968,42.52,49.59,0.4471,0.532,
125400,132000,123500,131600,127280,133600,134730,60943.33,30471.67,218960,259294,238957.1,228310.5,121233,60616.5,84.73,963286,1652.7,3907.54,-11600,-1104.79,-0.5872,-0.7038,0.4,0.3972,41.36,47.95,0.4132,0.5082,
132900,136000,130600,135300,127180,133580,135145,63198.33,31599.17,144396,256039.6,241649.4,228849.15,123639.6,61819.8,95.74,1107682,1821.96,3490.43,-7000,-2283.84,-0.4923,-0.5981,0.5,0.4101,40.26,46.41,0.4497,0.4965,
