Open,High,Low,Close,Price_5,Price_10,Price_20,Price_60,Price_120,Volume,Volume_5,Volume_10,Volume_20,Volume_60,Volume_120,Volume Ratio,OBV,MACD,MACD_Signal,Momentum,Momentum_Signal,William_R,William_D,Psychology,Psychology_Signal,MFI,MFI_Signal,RSI,RSI_Signal
83106,85863,82318,84681,83263.2,81530.1,82357.25,27452.42,13726.21,36475,56635.6,47333.6,48631.45,16210.48,8105.24,142.07,162477,64.32,-297.14,1181,-388.35,-0.1429,-0.2246,0.6,0.3784,47.08,39.85,0.5366,0.4697
85075,86257,84681,85469,84129.8,82120.9,82495.1,28876.9,14438.45,33257,51223.6,44651,48408.95,16764.77,8382.38,150.68,195734,303.37,-177.04,1182,-74.28,-0.0909,-0.1578,0.7,0.4186,52.78,42.44,0.5366,0.4831
85863,88620,84681,87832,84917.6,82829.9,82593.55,30340.77,15170.38,64176,45897.4,49581.3,46713.2,17834.37,8917.18,141.9,259910,675.71,-6.49,3939,728.38,-0.0714,-0.1146,0.7,0.4538,55.86,45.12,0.6087,0.5082
87438,88226,85075,85863,85469,83342,82751.1,31771.82,15885.91,35489,40987,50808.3,45992.95,18425.85,9212.92,147.4,224421,802.65,155.34,5121,1606.9,-0.25,-0.1823,0.7,0.4846,58.73,47.84,0.6512,0.5368
85863,89801,85075,89014,86571.8,84366.1,83046.5,33255.38,16627.69,80104,49900.2,54074.4,47365.05,19760.92,9880.46,154.78,304525,1144.33,353.14,8272,2939.92,-0.0645,-0.1234,0.8,0.524,67.25,51.73,0.7059,0.5706
89408,89408,87832,88620,87359.6,85311.4,83263.15,34732.38,17366.19,35286,49662.4,53149,46640.15,20349.02,10174.51,129.13,269239,1367.55,556.02,9059,4163.74,-0.0967,-0.11,0.7,0.546,75.19,56.42,0.7347,0.6035
87832,89801,86257,87832,87832.2,85981,83479.75,36196.25,18098.13,75634,58137.8,54680.7,48242.1,21609.58,10804.79,119.71,193605,1463.99,737.61,7090,4748.99,-0.1613,-0.1357,0.6,0.5528,66.21,58.38,0.6875,0.6203
87832,90983,87832,89014,88068.6,86493.1,83716.1,37679.82,18839.91,71909,59684.4,52790.9,50093.1,22808.07,11404.03,128.14,265514,1617.16,913.52,8272,5453.59,-0.147,-0.1413,0.6,0.5587,69.53,60.61,0.7059,0.6374
90589,92952,87438,90589,89013.8,87241.4,84050.9,39189.63,19594.82,110751,74736.8,57861.9,54396.25,24653.92,12326.96,162.5,376265,1844.37,1099.69,11816,6726.07,-0.1538,-0.1476,0.7,0.5763,77.42,63.97,0.8,0.6699
90195,95316,88620,95316,90274.2,88423,84779.6,40778.23,20389.12,167540,92224,71062.1,59285.5,27446.25,13723.13,243.98,543805,2378.46,1355.45,16149,8610.66,0,-0.0738,0.7,0.5918,84.86,68.15,0.8361,0.7032
95316,96497,93346,95316,91613.4,89486.5,85508.3,42366.83,21183.42,76363,100439.4,75050.9,61192.25,28718.97,14359.48,236.44,543805,2769.79,1638.31,14180,9724.53,-0.0769,-0.0753,0.6,0.5928,85.29,71.58,0.8215,0.7268
95709,95709,93346,94528,92952.6,90392.4,86256.65,43942.3,21971.15,45459,94404.4,76271.1,60461.05,29476.62,14738.31,246.34,498346,2981.97,1907.05,10635,9906.62,-0.1389,-0.1071,0.5,0.5812,79.53,73.17,0.7647,0.7344
94528,95709,93346,94922,94134.2,91101.4,86965.65,45524.33,22762.17,32848,86592.2,73138.3,61359.8,30024.08,15012.04,251.49,531194,3145.65,2154.77,11816,10288.5,-0.1111,-0.1091,0.5,0.5711,79.05,74.34,0.8,0.7475
94922,95316,92165,92952,94606.8,91810.3,87576.15,47073.53,23536.77,37986,72039.2,73388,62098.15,30657.18,15328.59,230.73,493208,3080.89,2339.99,9452,10121.2,-0.25,-0.1796,0.5,0.5622,78.48,75.17,0.7222,0.7424
92952,93740,91377,92558,94055.2,92164.7,88265.4,48616.17,24308.08,40317,46594.6,69409.3,61741.85,31329.13,15664.57,235.2,452891,2963.62,2464.72,7877,9672.36,-0.3334,-0.2565,0.4,0.5419,74.12,74.96,0.6923,0.7324
