Open,High,Low,Close,Price_5,Price_10,Price_20,Price_60,Price_120,Volume,Volume_5,Volume_10,Volume_20,Volume_60,Volume_120,Volume Ratio,OBV,MACD,Signal,Momentum,Momentum_Signal,William_R,William_D,Psychology,Psychology_Signal,MFI,MFI_Signal,RSI,RSI_Signal
20750,20900,20700,20800,20930,21505,21955,7318.33,3659.17,223629,372038.8,268913.4,229129.45,76376.48,38188.24,65.81,-883086,-390.03,-200.98,-2100,-1079.01,-0.8475,-0.8685,0.3,0.3717,20.82,35.58,0.2375,0.3616
20850,21150,20850,21100,20860,21380,21892.5,7670,3835,329277,393058.4,275452.9,230571.25,81864.43,40932.22,78.56,-553809,-390.04,-238.79,-1250,-1113.21,-0.7458,-0.8071,0.4,0.3752,29.05,34.28,0.3333,0.356
21000,21100,20800,20900,20820,21240,21837.5,8018.33,4009.17,241110,341624,288837.8,235347.55,85882.93,42941.47,75.75,-794919,-401.56,-271.34,-1550,-1200.57,-0.8136,-0.8103,0.4,0.3783,27.2,32.86,0.2987,0.3445
20850,20950,20700,20750,20850,21080,21807.5,8364.17,4182.08,276025,249527.4,301535.7,240929.7,90483.35,45241.68,72.72,-1070944,-417.97,-300.67,-1850,-1330.45,-0.8644,-0.8374,0.3,0.3685,22.55,30.8,0.2597,0.3276
20850,21300,20850,21200,20950,21020,21755,8717.5,4358.75,263096,266627.4,310613.9,242219.15,94868.28,47434.14,73.65,-807848,-390.17,-318.57,-1850,-1434.36,-0.6964,-0.7669,0.4,0.3724,21.25,28.89,0.2597,0.314
21250,21900,21250,21750,21140,21035,21705,9080,4540,301907,282283,327160.9,246972.45,99900.07,49950.03,77.05,-505941,-320.07,-318.87,-600,-1267.49,-0.3778,-0.5723,0.5,0.3884,29.14,28.94,0.4189,0.335
21700,21700,21350,21400,21200,21030,21630,9436.67,4718.33,183383,253104.2,323081.3,245886.75,102956.45,51478.23,65.4,-689324,-289.42,-312.98,-900,-1193.99,-0.5,-0.5362,0.5,0.4023,28.6,28.87,0.3875,0.3455
21500,21750,21350,21550,21330,21075,21590,9795.83,4897.92,171297,239141.6,290382.8,247762.2,105811.4,52905.7,74.52,-518027,-250.14,-300.41,-800,-1115.19,-0.4,-0.4681,0.6,0.427,32.92,29.68,0.4024,0.3569
21550,21700,21350,21650,21510,21180,21550,10156.67,5078.33,133216,210579.8,230053.6,251291.5,108031.67,54015.83,77,-384811,-208.54,-282.04,-150,-922.15,-0.1875,-0.3278,0.7,0.4612,36.78,31.1,0.4795,0.3814
21700,21800,21550,21800,21630,21290,21510,10520,5260,157567,189474,228050.7,252338.6,110657.78,55328.89,77.74,-227244,-161.6,-257.95,200,-697.72,-0.0645,-0.1962,0.7,0.491,40.71,33.02,0.5278,0.4107
21650,21700,21350,21500,21580,21360,21432.5,10878.33,5439.17,257021,180496.8,231389.9,250151.65,114941.47,57470.73,61.58,-484265,-146.92,-235.74,50,-548.18,-0.2581,-0.2271,0.6,0.5046,40.36,34.49,0.5067,0.4299
21650,21750,21450,21450,21590,21395,21387.5,11235.83,5617.92,125309,168882,210993.1,243223,117029.95,58514.98,64.46,-609574,-137.73,-216.14,350,-368.54,-0.2903,-0.2587,0.5,0.5041,48.13,37.22,0.5507,0.454
21400,21600,21350,21550,21590,21460,21350,11595,5797.5,123592,159341,199241.3,244039.55,119089.82,59544.91,71.22,-485982,-120.98,-197.11,950,-104.83,-0.25,-0.2544,0.6,0.5161,57.76,41.33,0.6557,0.4944
21450,21550,21000,21050,21470,21490,21285,11945.83,5972.92,250520,182801.8,196690.8,249113.25,123265.15,61632.58,60.66,-736502,-146.37,-186.96,350,-13.87,-0.7083,-0.4813,0.6,0.5265,56.29,44.32,0.5507,0.5056
21050,21200,20950,21100,21330,21480,21250,12297.5,6148.75,165195,184327.4,186900.7,248757.3,126018.4,63009.2,69.87,-571307,-160.6,-181.69,300,48.91,-0.6667,-0.574,0.6,0.5357,49.99,45.45,0.5441,0.5133
21150,21250,20900,21000,21230,21405,21220,12647.5,6323.75,215315,175986.2,178241.5,252701.2,129606.98,64803.49,68.04,-786622,-177.9,-180.93,-100,19.12,-0.75,-0.662,0.5,0.5313,40.6,44.48,0.4844,0.5075
21000,21550,21000,21400,21220,21405,21217.5,13004.17,6502.08,229912,196906.8,182894.4,252987.85,133438.85,66719.43,81.78,-556710,-157.52,-176.25,500,115.3,-0.4167,-0.5393,0.6,0.5399,48.75,45.34,0.5735,0.5207
21400,21800,21400,21400,21190,21390,21232.5,13360.83,6680.42,281871,228562.6,193951.8,242167.3,138136.7,69068.35,99.63,-556710,-139.75,-168.95,650,222.24,-0.4762,-0.5078,0.5,0.5349,58.41,47.95,0.6,0.5366
21400,21700,21400,21550,21290,21380,21280,13720,6860,87731,196004.8,189403.3,209728.45,139598.88,69799.44,148.26,-468979,-112.28,-157.62,350,247.79,-0.35,-0.4289,0.5,0.5305,55.76,49.51,0.5593,0.5411
21400,21500,20900,21100,21290,21310,21300,14071.67,7035.83,293173,221600.4,202963.9,215507.3,144485.1,72242.55,117.38,-762152,-125.37,-151.17,-650,68.23,-0.7778,-0.6033,0.4,0.5142,44.66,48.54,0.386,0.5101
21050,21150,20900,20950,21280,21255,21307.5,14420.83,7210.42,137711,206079.6,191032.9,211211.4,146780.28,73390.14,99.21,-899863,-146.16,-150.16,-450,-35.41,-0.9444,-0.7739,0.4,0.4999,45.49,47.93,0.4151,0.4911
20950,21050,20900,21000,21200,21210,21302.5,14770.83,7385.42,113569,182811,189858.9,200426,148673.1,74336.55,89.04,-786294,-156.8,-151.49,-550,-138.33,-0.8889,-0.8314,0.5,0.4999,39.85,46.31,0.3922,0.4713
21000,21100,20700,20750,21070,21130,21295,15116.67,7558.33,228911,172219,200390.8,199816.05,152488.28,76244.14,89.55,-1015205,-183.29,-157.85,-900,-290.66,-0.9545,-0.893,0.4,0.4874,33.45,43.74,0.3333,0.4437
20700,20750,20400,20500,20860,21075,21282.5,15458.33,7729.17,309299,216532.6,206268.7,201479.75,157643.27,78821.63,88.16,-1324504,-221.89,-170.66,-1300,-492.53,-0.9286,-0.9108,0.4,0.4765,26.07,40.21,0.2679,0.4085
20550,20650,20100,20150,20670,20980,21230,15794.17,7897.08,373514,232600.8,227100.6,207000.65,163868.5,81934.25,64.61,-1698018,-277.54,-192.03,-1350,-664.03,-0.9706,-0.9407,0.3,0.4544,25.21,37.21,0.2632,0.3795
20050,20350,20000,20100,20500,20890,21147.5,16129.17,8064.58,366152,278289,242184.3,210212.9,169971.03,84985.52,45.92,-2064170,-321.95,-218.02,-1350,-801.22,-0.9444,-0.9426,0.3,0.4351,19.37,33.64,0.2632,0.3562
20500,20500,20100,20150,20330,20765,21085,16465,8232.5,313566,318288.4,250549.7,216722.05,175197.13,87598.57,60.66,-1750604,-349.1,-244.23,-1400,-920.98,-0.9167,-0.9296,0.3,0.4182,27.4,32.39,0.25,0.335
20250,20350,20100,20350,20250,20660,21025,16804.17,8402.08,163649,305236,238727.5,216339.65,177924.62,88962.31,60.38,-1586955,-350.43,-265.47,-700,-876.78,-0.8056,-0.8676,0.4,0.416,33.07,32.53,0.36,0.34
20150,20250,20050,20100,20170,20515,20947.5,17139.17,8569.58,218965,287169.2,251850.9,220627.1,181574.03,90787.02,51.28,-1805920,-367.42,-285.86,-1000,-901.42,-0.9444,-0.906,0.3,0.4015,32.63,32.55,0.3148,0.3349
20150,20350,20100,20150,20170,20420,20865,17475,8737.5,224948,257456,245028.4,223996.15,185323.17,92661.58,53.59,-1580972,-372.56,-303.2,-850,-891.14,-0.9167,-0.9113,0.4,0.4013,39.21,33.88,0.3396,0.3359
20250,20350,20100,20200,20190,20345,20800,17811.67,8905.83,228130,229851.6,254070.3,222551.6,189125.33,94562.67,67.34,-1352842,-368.36,-316.23,-1200,-952.91,-0.8889,-0.9001,0.5,0.4136,38.95,34.89,0.2391,0.3165
20350,20550,20250,20400,20240,20285,20747.5,18151.67,9075.83,238801,214898.6,266593.5,228226.2,193105.35,96552.68,80.1,-1114041,-344.91,-321.97,-1000,-962.33,-0.7647,-0.8324,0.5,0.4244,37.87,35.49,0.3,0.3132
20450,20500,20250,20350,20240,20245,20687.5,18490.83,9245.42,209867,224142.2,264689.1,232539.95,196603.13,98301.57,69.47,-1323908,-326.59,-322.89,-1200,-1009.86,-0.7667,-0.7995,0.5,0.4339,33.87,35.17,0.25,0.3006
20450,21100,20450,21000,20420,20295,20685,18840.83,9420.42,590409,298431,292800.1,249534.4,206443.28,103221.64,100.12,-733499,-256.67,-309.65,-100,-827.89,-0.1304,-0.465,0.6,0.4546,47.34,37.6,0.4808,0.3366
21200,21250,20750,20750,20540,20355,20667.5,19186.67,9593.33,261643,305770,281613,254356.8,210804,105402,84.62,-995142,-218.91,-291.5,-200,-702.31,-0.4,-0.4325,0.6,0.4728,52.75,40.63,0.463,0.3619
20950,21000,20650,20850,20670,20430,20660,19534.17,9767.08,195732,299290.4,264571,253377.65,214066.2,107033.1,99.5,-799410,-178.85,-268.97,-150,-591.85,-0.32,-0.3762,0.7,0.5012,51.64,42.83,0.4727,0.3841
20900,20950,20600,20700,20730,20485,20625,19879.17,9939.58,231378,297805.8,256352.2,253450.95,217922.5,108961.25,82.89,-1030788,-157.39,-246.65,-50,-483.48,-0.44,-0.4081,0.6,0.5136,51.62,44.59,0.4906,0.4054
20750,20950,20650,20650,20790,20515,20587.5,20223.33,10111.67,307343,317301,270721.6,254724.55,223044.88,111522.44,73.4,-1338131,-142.77,-225.88,150,-356.78,-0.48,-0.4441,0.5,0.5119,56.05,46.88,0.5306,0.4304
20750,20850,20500,20600,20710,20565,20540,20566.67,10283.33,236415,246502.2,272466.6,262158.75,226985.13,113492.57,65.17,-1574546,-133.68,-207.44,450,-195.43,-0.52,-0.482,0.5,0.5104,58.17,49.14,0.6047,0.4653
20500,20600,20150,20250,20610,20575,20497.5,20904.17,10452.08,318977,257969,281869.5,263448.95,232301.42,116150.71,64.65,-1893523,-152.96,-196.54,150,-126.34,-0.8333,-0.6577,0.4,0.4966,58.91,51.09,0.5306,0.4783
20150,20250,19900,19900,20420,20545,20445,21235.83,10617.92,461899,311202.4,305246.4,279658.35,239999.73,119999.87,58.7,-2355422,-194.23,-196.08,-250,-151.07,-1,-0.8288,0.3,0.472,47.92,50.46,0.4545,0.4736
19900,20150,19800,20100,20300,20515,20400,21198.33,10785.42,254623,315851.4,306828.6,286711.05,239236.1,122121.73,62.7,-2100799,-208.41,-198.55,-250,-170.86,-0.7931,-0.811,0.3,0.4505,45.45,49.46,0.4545,0.4698
19950,20000,19650,19700,20110,20450,20347.5,21160,10949.58,362035,326789.8,322045.4,293367.25,242843.62,125138.68,60.42,-2462834,-249.05,-208.65,-400,-216.69,-0.9687,-0.8899,0.3,0.4317,43.73,48.31,0.431,0.462
19600,19600,19350,19500,19890,20300,20297.5,21129.17,11112.08,276914,334889.6,290695.9,291748,244719.15,127446.3,60.96,-2739748,-294,-225.72,-650,-303.35,-0.9211,-0.9055,0.2,0.4027,37.05,46.06,0.3934,0.4483
19600,20050,19450,20050,19850,20230,20292.5,21092.5,11279.17,204909,312076,285022.5,283317.75,244179.18,129153.88,74.26,-2534839,-282,-236.97,-150,-272.68,-0.6316,-0.7685,0.3,0.3899,36.58,44.16,0.4789,0.4544
19950,20000,19600,19800,19830,20125,20277.5,21043.33,11444.17,176120,254920.2,283061.3,273816.15,243667.17,130621.54,78.87,-2710959,-289.32,-247.44,-600,-338.14,-0.7632,-0.7658,0.2,0.3662,30.49,41.43,0.4167,0.4469
19900,19900,19650,19750,19760,20030,20257.5,20990.83,11608.75,136203,231236.2,273543.8,264948,242518.93,131756.57,65.71,-2847162,-295.75,-257.1,-600,-390.51,-0.7895,-0.7777,0.2,0.3454,31.18,39.38,0.4167,0.4408
