Open,High,Low,Close,Price_5,Price_10,Price_20,Price_60,Price_120,Volume,Volume_5,Volume_10,Volume_20,Volume_60,Volume_120,Volume Ratio,OBV,MACD,MACD_Signal,Momentum,Momentum_Signal,William_R,William_D,Psychology,Psychology_Signal,MFI,MFI_Signal,RSI,RSI_Signal
22900.00,24050.00,22900.00,23600.00,22050.00,22305.00,22260.00,7420.00,3710.00,2016192.00,1340007.40,1235866.30,1204307.45,401435.82,200717.91,225.12,8648467.00,412.55,466.67,950.00,483.34,-0.22,-0.41,0.50,0.52,54.06,62.36,0.56,0.60
24000.00,24150.00,23400.00,23850.00,22470.00,22355.00,22440.00,7817.50,3908.75,822392.00,1327372.00,1204891.00,1164776.50,415142.35,207571.18,237.01,9470859.00,503.89,474.12,900.00,566.67,-0.16,-0.28,0.60,0.53,59.51,61.79,0.56,0.59
23750.00,23800.00,22100.00,22950.00,22830.00,22420.00,22557.50,8200.00,4100.00,1271635.00,1259767.00,1173377.80,1195248.95,436336.27,218168.13,192.10,8199224.00,497.92,478.88,-200.00,413.34,-0.37,-0.33,0.60,0.54,53.58,60.15,0.49,0.57
22950.00,23200.00,22450.00,22900.00,23160.00,22510.00,22672.50,8581.67,4290.83,358582.00,1145179.40,1084433.70,1168160.90,442312.63,221156.32,188.71,7840642.00,483.58,479.82,-1100.00,110.67,-0.38,-0.36,0.60,0.55,49.40,58.00,0.43,0.54
22900.00,22900.00,21550.00,22000.00,23060.00,22455.00,22702.50,8948.33,4474.17,705855.00,1034931.20,1043486.40,1158003.45,454076.88,227038.44,163.24,7134787.00,395.04,462.86,-2100.00,-331.46,-0.55,-0.45,0.50,0.54,43.74,55.14,0.38,0.51
21900.00,22550.00,21550.00,22050.00,22750.00,22400.00,22682.50,9315.83,4657.92,314119.00,694516.60,1017262.00,1095398.60,459312.20,229656.10,149.00,7448906.00,325.16,435.32,-1300.00,-525.17,-0.54,-0.50,0.50,0.54,46.33,53.38,0.42,0.49
21800.00,22900.00,21500.00,22100.00,22400.00,22435.00,22655.00,9684.17,4842.08,467160.00,623470.20,975421.10,979148.50,467098.20,233549.10,122.58,7916066.00,270.69,402.40,-200.00,-460.14,-0.53,-0.51,0.60,0.54,53.63,53.43,0.49,0.49
22400.00,22650.00,22050.00,22050.00,22220.00,22525.00,22610.00,10051.67,5025.83,258074.00,420758.00,840262.50,950183.00,471399.43,235699.72,109.84,7657992.00,220.94,366.11,50.00,-358.11,-0.54,-0.52,0.60,0.55,59.83,54.71,0.50,0.49
22200.00,22550.00,22050.00,22350.00,22110.00,22635.00,22570.00,10424.17,5212.08,296570.00,408355.60,776767.50,939915.60,476342.27,238171.13,107.57,7954562.00,203.38,333.56,-200.00,-326.49,-0.46,-0.49,0.60,0.56,57.05,55.18,0.48,0.49
22350.00,22350.00,21000.00,21450.00,22000.00,22530.00,22442.50,10781.67,5390.83,809128.00,429010.20,731970.70,932587.40,489827.73,244913.87,89.06,7145434.00,115.51,289.95,-1150.00,-491.19,-0.69,-0.59,0.50,0.55,51.24,54.39,0.42,0.48
21250.00,21850.00,19000.00,20250.00,21640.00,22195.00,22250.00,11119.17,5559.58,5245221.00,1415230.60,1054873.60,1145369.95,577248.08,288624.04,51.60,1900213.00,-50.38,221.88,-1500.00,-692.95,-0.76,-0.68,0.40,0.53,38.67,51.25,0.40,0.46
20050.00,21100.00,20050.00,20700.00,21360.00,21880.00,22117.50,11464.17,5732.08,1420495.00,1605897.60,1114683.90,1159787.45,600923.00,300461.50,65.94,3320708.00,-143.88,148.73,-450.00,-644.36,-0.67,-0.67,0.40,0.51,47.52,50.50,0.47,0.46
20950.00,21050.00,20350.00,20450.00,21040.00,21630.00,22025.00,11805.00,5902.50,595914.00,1673465.60,1047111.80,1110244.80,610854.90,305427.45,70.97,2724794.00,-235.44,71.90,-800.00,-675.49,-0.72,-0.70,0.40,0.50,44.35,49.27,0.45,0.46
20700.00,20950.00,19900.00,19950.00,20560.00,21335.00,21922.50,12137.50,6068.75,663890.00,1746929.60,1077642.60,1081038.15,621919.73,310959.87,74.31,2060904.00,-344.37,-11.36,-2550.00,-1050.39,-0.82,-0.76,0.40,0.49,37.57,46.93,0.32,0.43
20000.00,20000.00,18050.00,19950.00,20260.00,21130.00,21792.50,12470.00,6235.00,1543685.00,1893841.00,1161425.60,1102456.00,647647.82,323823.91,67.35,2060904.00,-425.80,-94.25,-3650.00,-1570.31,-0.69,-0.72,0.40,0.48,23.93,42.33,0.19,0.38
20100.00,20200.00,19150.00,19400.00,20090.00,20865.00,21632.50,12793.33,6396.67,538765.00,952549.80,1183890.20,1100576.10,656627.23,328313.62,60.50,1522139.00,-528.61,-181.12,-4450.00,-2146.25,-0.77,-0.74,0.30,0.45,21.56,38.18,0.14,0.33
19100.00,20250.00,19100.00,20050.00,19960.00,20660.00,21547.50,13127.50,6563.75,684112.00,805273.20,1205585.40,1090503.25,668029.10,334014.55,70.01,2206251.00,-551.29,-255.15,-2900.00,-2297.00,-0.61,-0.68,0.30,0.44,27.73,36.09,0.25,0.32
19950.00,20050.00,19050.00,19500.00,19770.00,20405.00,21465.00,13452.50,6726.25,676118.00,821314.00,1247389.80,1043826.15,679297.73,339648.87,75.51,1530133.00,-606.65,-325.45,-3400.00,-2517.60,-0.70,-0.69,0.30,0.42,27.23,34.32,0.23,0.30
19700.00,20800.00,19700.00,20700.00,19920.00,20240.00,21437.50,13797.50,6898.75,1142828.00,917101.60,1332015.60,1054391.55,698344.87,349172.43,77.28,2672961.00,-547.38,-369.84,-1300.00,-2274.08,-0.45,-0.57,0.30,0.40,34.62,34.38,0.40,0.32
