Open,High,Low,Close,Price_5,Price_10,Price_20,Price_60,Price_120,Volume,Volume_5,Volume_10,Volume_20,Volume_60,Volume_120,Volume Ratio,OBV,MACD,MACD_Signal,Momentum,Momentum_Signal,William_R,William_D,Psychology,Psychology_Signal,MFI,MFI_Signal,RSI,RSI_Signal
23200,25050,22450,25050,23650,23315,21957.5,7319.17,3659.58,895505,426239.4,645504,463525.15,154508.38,77254.19,230.29,3488259,765.06,497.26,5050,2623.68,0,-0.1737,0.6,0.5096,72.96,63.78,0.7371,0.6334
25450,26200,23850,24150,23690,23660,22097.5,7721.67,3860.83,853230,526396,708795.7,484808.55,168728.88,84364.44,174.63,2635029,794.73,556.75,3200,2738.95,-0.3504,-0.262,0.6,0.5209,74.9,66,0.6509,0.6369
24200,25350,23500,23600,23820,23795,22242.5,8115,4057.5,531392,565847.4,678959.7,490539.35,177585.42,88792.71,169.14,2103637,765.04,598.41,2600,2711.16,-0.4444,-0.3532,0.5,0.5183,69.35,66.67,0.6171,0.633
23600,24200,22950,23150,23770,23725,22425,8500.83,4250.42,349063,580771.4,526110.6,484933,183403.13,91701.57,174.51,1754574,697.17,618.16,2350,2638.93,-0.5214,-0.4373,0.4,0.5035,67.67,66.87,0.6035,0.6271
23000,23550,22200,22400,23670,23535,22547.5,8874.17,4437.08,416252,609088.4,493656,495353.05,190340.67,95170.33,150.86,1338322,576.21,609.77,1100,2331.14,-0.6609,-0.5491,0.3,0.4781,63.73,66.24,0.5474,0.6111
22600,23550,22600,22850,23230,23440,22667.5,9255,4627.5,385781,507143.6,466691.5,506347.6,196770.35,98385.18,156.42,1724103,510.78,589.97,2150,2294.91,-0.5929,-0.571,0.4,0.4683,66.71,66.34,0.5939,0.6077
22550,23300,22300,22650,22930,23310,22800,9632.5,4816.25,208768,378251.2,452323.6,509179.85,200249.82,100124.91,154.21,1515335,437.74,559.53,400,1915.93,-0.8256,-0.6983,0.3,0.4473,61.97,65.46,0.5198,0.5901
22700,23400,22500,23350,22880,23350,22920,10021.67,5010.83,200701,312113,438980.2,500154.2,203594.83,101797.42,149.71,1716036,431.37,533.9,-500,1432.74,-0.7125,-0.7054,0.4,0.4414,52.3,62.83,0.4728,0.5667
23350,24250,22850,23550,22960,23365,23047.5,10414.17,5207.08,339820,310264.4,445517.9,506684.9,209258.5,104629.25,152.97,2055856,437.41,514.6,-750,996.2,-0.6625,-0.6839,0.4,0.4362,49,60.07,0.4581,0.5449
23450,23500,22750,23500,23180,23425,23182.5,10805.83,5402.92,177220,262458,435773.2,507410.35,212212.17,106106.08,152.41,1878636,433.18,498.31,-300,736.96,-0.675,-0.6795,0.4,0.4317,53.32,58.72,0.4824,0.5324
23550,23700,22350,22350,23080,23155,23235,11178.33,5589.17,263226,237947,372545.3,509024.65,216599.27,108299.63,137.66,1615410,333.18,465.29,-1600,269.56,-0.9625,-0.821,0.3,0.4152,54.32,57.84,0.4158,0.5091
22300,23050,22000,22300,23010,22970,23315,11550,5775,277541,251701.6,314976.4,511886.05,221224.95,110612.48,135.84,1337869,247.05,421.64,-650,85.65,-0.9286,-0.8748,0.3,0.4008,54.98,57.27,0.462,0.4997
22150,22600,21550,21550,22650,22765,23280,11909.17,5954.58,258979,263357.2,287735.1,483347.4,225541.27,112770.63,110.16,1078890,116.93,360.7,-1850,-301.48,-1,-0.9374,0.3,0.3882,50.28,55.87,0.3955,0.4788
21850,23200,21550,21650,22270,22615,23170,12270,6135,407609,276915,293589.7,409850.15,232334.75,116167.38,78.2,1486499,21.62,292.88,-1250,-491.18,-0.9785,-0.9579,0.4,0.3897,56.15,55.92,0.426,0.4683
