Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock
22650,81200,178500,32400,75500,41550,78500,146000,65500,155000,57900,5170,403500,31700,87500,129000,57400,70700,3285,595000,32300,9320,438000,24800,8980,56100,44850,199000,161500,29950,205500,26650,90300,85400,17750,5730,53200,140000,38900,6135,5120,294000,36950,406000,152500,176000,11050,28450,122500,35050,32500,58800,310000,90600,30700,702000,1543000,22750,14050,22300,841000,24150,380000,320000,20650,212000,15100,85100,60100,12000,23900,17100,29350,3455,117000,11850,8280,76000,84100,51900,12900,159500,242000,29750,19950,95300,100500,217000,94900,104500,171000,126000,150000,233500,152000,27050,820000,74700,28750
22550,82200,178500,32500,74500,40750,78800,147500,65900,146500,58500,5170,411500,30900,87700,126500,56000,71400,3325,585000,31600,9230,423500,24850,9040,55900,45200,199000,156000,30350,206000,25400,88500,85800,17900,5590,53500,139000,38900,6230,5130,289500,36750,397000,155000,174000,11050,28350,120500,33250,32900,57900,301000,90300,30750,699000,1563000,22900,14250,22300,823000,23800,370000,312500,20650,211500,13350,84200,59400,11850,23900,17050,28850,3485,115500,11500,8190,76700,83100,49700,13900,158000,235500,29450,20000,95500,99400,211000,88100,101500,171500,122500,148000,235500,148000,27550,799000,75000,28650
22600,82000,177500,32200,71800,40250,78900,145500,65900,145000,58100,5100,405500,30400,87500,124500,57400,70700,3275,574000,32050,8890,414500,24800,9000,55400,45100,195000,155000,30400,205000,25200,87400,79100,17550,5580,53700,138000,38850,6005,5100,299000,36450,400500,155000,172500,11050,27800,120000,30300,33000,57600,305000,84900,30250,667000,1500000,22900,14200,22100,783000,23700,364500,305500,20900,209500,12550,83100,59600,11500,23650,17050,28850,3455,114500,11400,8120,75800,84400,48900,12600,159000,227500,29200,19950,95700,99000,204500,80200,102000,169000,123500,151000,236000,148000,27950,794000,75400,28950
23900,86100,187500,33900,75000,42300,82300,152000,65700,154500,60500,5430,418000,32150,91400,134000,58400,73300,3485,595000,34000,9270,434500,26200,9400,57800,48050,201000,164500,31250,211500,27050,90500,82700,18400,5730,56500,146500,38900,6025,5360,296500,38000,402500,164000,182000,11150,29050,127000,31550,34850,60700,304000,85000,31400,683000,1519000,23950,14750,23550,841000,24800,376500,315000,21950,222500,12900,85800,63000,11850,24400,17800,29900,3655,120500,11950,8390,78000,88400,52400,13050,166000,231000,30400,20800,100000,101000,217000,84400,104000,179500,126500,152500,250500,154000,27850,809000,80400,30600
23200,86100,179500,34000,78100,42700,82700,151500,62200,154500,61100,5390,419500,31800,91500,133000,57500,71600,3500,583000,32750,9020,433000,26100,9280,58400,45900,203000,158000,31000,210000,26550,88800,82500,18250,5520,56400,147000,39300,5905,5380,291500,38150,403000,160500,176500,11050,29050,121000,32150,34550,60200,304000,84000,31600,690000,1500000,23750,14700,23500,834000,24800,378000,307500,22100,222500,13000,85400,59100,11750,24400,17600,29150,3615,116500,11850,8300,78800,82900,50900,12450,167000,229000,30300,20550,103000,98600,214500,82600,100000,176000,129000,151000,249000,148500,27000,802000,80400,33650
24050,89200,189000,36000,80200,44400,87200,154000,64000,163500,63600,5750,429000,31100,95900,138000,63300,78900,3580,593000,35150,9150,444000,27700,9520,58000,48500,210500,167000,33450,230000,28600,93100,86000,19500,5580,59700,162000,41350,5830,5470,306500,39800,401000,172000,196500,11150,30800,132000,34100,35950,63800,304500,88700,32700,700000,1565000,24900,15000,25650,872000,26450,362500,305000,23250,233500,13700,88100,65300,12300,25350,18850,30050,3810,124000,12400,8700,84200,82400,54000,13000,169000,237000,31950,21950,98000,102000,224000,84500,100000,188000,133000,158000,262000,145500,29150,800000,82700,33850
24500,91600,187000,36100,80700,44900,86800,154500,65200,166000,63600,5650,429000,32300,90300,137500,65700,78700,3575,599000,34650,9480,471000,27600,9730,58700,49300,206000,170000,32450,222500,28150,98000,90000,19700,5620,59000,159500,44100,5845,5520,313500,41500,414000,182000,187500,11300,31950,123000,33700,35850,62900,308500,87000,33800,737000,1560000,24950,15000,25000,897000,26600,360500,307000,23500,237500,13250,88000,71900,12300,25500,18800,29950,3820,126500,12600,8820,83700,85300,54400,12750,170000,242000,32950,21550,94900,101000,228000,89500,97700,191000,132500,157500,253000,149500,28450,820000,83800,33100
24450,91100,178500,36550,81000,45250,88000,157000,66600,161500,64300,5660,432000,32350,92100,139500,62900,77300,3600,605000,34950,9380,475500,27800,9750,59000,49450,208500,172000,32250,220500,28500,95200,88600,19550,5670,58200,157500,44950,5865,5500,321500,40350,414500,182500,182000,11400,31900,125500,33700,36150,63900,302000,87300,33800,741000,1548000,25050,14600,25500,850000,26450,354000,305000,23900,240000,13150,88300,59400,12400,25600,19250,29700,3745,119500,12400,8800,83900,88700,54200,12000,172500,241500,33000,20700,94800,103000,229500,91000,96200,189500,134000,149500,258500,149500,29450,843000,83000,31750
23500,83500,174500,36450,81300,47200,87300,154500,69200,160000,64000,5690,450500,32050,91700,139000,62600,72500,3455,590000,33850,9430,472500,27950,9540,58200,48700,207000,179000,31450,212000,27550,95600,87300,18900,5600,56200,151500,44800,5945,5400,319500,38800,443500,187000,174000,11300,31250,130000,34050,35500,64800,314000,83000,32850,758000,1573000,25100,14200,25650,840000,25700,352500,311500,23050,240500,13150,88100,56300,11900,24750,18550,29350,3720,110500,12350,8680,80400,88000,55400,10900,165500,237000,32650,21000,95300,100500,239000,87800,96000,190000,133000,145000,247000,150000,28150,804000,82500,30350
22100,82400,165500,34450,81400,46350,85800,150000,66800,160500,61400,5450,450000,31100,87200,141000,62200,71200,3500,573000,33350,9490,473500,26950,9480,57800,44350,198500,170000,30650,209000,26600,96800,90000,18750,5470,55100,142500,44300,6035,5290,324500,37150,427000,186000,168000,11050,30250,128500,32450,35000,66900,315000,85700,30850,720000,1445000,24150,13900,23600,841000,24700,356000,313500,22600,244500,13150,86200,55300,12200,24450,18350,29250,3650,109500,12000,8400,79900,79600,56300,11000,164500,238000,33000,19450,90100,100500,238000,87000,97200,190000,132500,146500,232000,155000,27300,771000,82300,29350
