Open,High,Low,Close,Price_5,Price_10,Price_20,Price_60,Price_120,Volume,Volume_5,Volume_10,Volume_20,Volume_60,Volume_120,Volume Ratio,OBV,MACD,MACD_Signal,Momentum,Momentum_Signal,William_R,William_D,Psychology,Psychology_Signal,MFI,MFI_Signal,RSI,RSI_Signal
1056,1075,1006,1047,1057.2,1094.2,1049.1,349.7,174.85,4420514,4635476.6,7454937,11474974.6,3824991.53,1912495.77,211.46,79617316,62.48,78.91,-128,74.33,-0.834,-0.6907,0.4,0.4799,51.54,62.45,0.3769,0.6043
1061,1175,1056,1125,1068.2,1094.7,1067.65,368.45,184.23,12312667,6083006.4,7925968.3,11739728.35,4030202.65,2015101.33,228.7,91929983,62.67,75.67,9,61.27,-0.4591,-0.5749,0.5,0.4824,47.1,59.38,0.5083,0.5851
1134,1166,1097,1152,1088.2,1091,1085.25,387.65,193.83,8450476,6828734.6,7084097.5,11900862.5,4171043.92,2085521.96,233.21,100380459,64.26,73.38,0,49.01,-0.3364,-0.4556,0.5,0.4846,57.01,58.91,0.5,0.5681
1157,1239,1129,1152,1106.4,1095.1,1097.8,406.85,203.43,11550272,8400588,7017402.9,11582358.6,4363548.45,2181774.23,200.03,100380459,64.77,71.66,41,47.41,-0.3734,-0.4145,0.5,0.4866,66.03,60.33,0.5419,0.5629
1161,1171,1116,1157,1126.6,1099.2,1110.15,426.13,213.07,5983452,8543476.2,6776794.1,10998996.3,4463272.65,2231636.33,184.92,106363911,64.83,70.3,-27,32.53,-0.3519,-0.3832,0.5,0.4882,59.49,60.16,0.4679,0.5439
1152,1161,1093,1093,1135.8,1096.5,1117.95,444.35,222.18,5485506,8756474.6,6695975.6,10578204.3,4554697.75,2277348.88,155.84,100878405,59.04,68.04,-27,20.62,-0.6266,-0.5049,0.4,0.4772,60.72,60.27,0.4679,0.5287
1111,1184,1093,1139,1138.6,1103.4,1116.15,463.33,231.67,9631323,8220205.8,7151606.1,9186272.95,4715219.8,2357609.9,122.18,110509728,57.49,65.93,-50,6.5,-0.4292,-0.467,0.5,0.4801,57.75,59.77,0.4372,0.5104
1143,1161,1120,1134,1135,1111.6,1117.05,482.23,241.12,6578923,7845895.2,7337314.9,8385670.35,4824868.52,2412434.26,151.52,103930805,55.23,63.79,23,9.8,-0.4506,-0.4588,0.5,0.4825,61.09,60.03,0.5354,0.5154
1152,1184,1139,1161,1136.8,1121.6,1117.5,501.58,250.79,9024689,7340778.6,7870683.3,8131515.3,4975280,2487640,143.89,112955494,54.98,62.03,45,16.84,-0.3348,-0.3968,0.5,0.4847,61.43,60.31,0.5648,0.5253
1175,1344,1143,1344,1174.2,1150.4,1129.15,523.98,261.99,38315877,13807263.6,11175369.9,9570540.8,5613877.95,2806938.98,234.95,151271371,68.76,63.38,224,58.27,0,-0.1984,0.6,0.4991,76.67,63.58,0.7129,0.5628
1372,1463,1294,1294,1214.4,1175.1,1134.65,545.55,272.77,56355810,23981324.4,16368899.5,11911918.25,6553141.45,3276570.73,109.9,94915561,74.78,65.66,224,91.42,-0.3698,-0.2841,0.6,0.5117,86.52,68.17,0.7129,0.5928
1303,1363,1207,1226,1231.8,1185.2,1139.95,565.98,282.99,13286368,24712333.4,16466269.6,12196118.95,6774580.92,3387290.46,104.66,81629193,73.22,67.17,174,107.93,-0.5186,-0.4014,0.5,0.5103,82.15,70.97,0.651,0.6045
1207,1253,1180,1230,1251,1193,1142,586.48,293.24,8133579,25023264.6,16434579.9,11759338.7,6910140.57,3455070.28,97.33,89762772,71.48,68.03,169,120.15,-0.5098,-0.4556,0.5,0.509,78.48,72.47,0.648,0.6132
1239,1253,1180,1180,1254.8,1195.8,1145.45,606.15,303.08,8735857,24965498.2,16153138.4,11585270.65,7055738.18,3527869.09,100.26,81026915,65.32,67.49,124,120.92,-0.6193,-0.5374,0.5,0.5079,74.63,72.9,0.6006,0.6107
1171,1189,1125,1166,1219.2,1196.7,1147.95,625.58,312.79,6877673,18677857.4,16242560.5,11509677.3,7170366.07,3585183.03,87.79,74149242,58.63,65.72,119,120.53,-0.7297,-0.6336,0.4,0.4944,73.62,73.05,0.5958,0.6077
1157,1180,1079,1107,1181.8,1198.1,1147.3,644.03,322.02,6491640,8705023.4,16343173.9,11519574.75,7278560.07,3639280.03,78.5,67657602,48.01,62.18,-18,92.83,-0.9271,-0.7803,0.4,0.4826,69.91,72.42,0.485,0.5832
