Price,William's %R,Roc,Momentum,RSI,CCI,ADX,TRIX,MACD,OBV,_TSF_,ATR,MFI
274500,0,0,0,0,0,0,0,0,0,0,0,0
278500,0,0,0,0,0,0,0,319.09,93235,0,0,100
276500,-0.25,0,0,0,0,0,0.01,405.91,28733,0,0,59.12
275500,-0.375,0,0,0,0,0,0.01,389.53,-11299,0,0,47.18
275500,-0.375,0,0,0,0,0,0.02,372.26,-11299,0,0,41.33
275000,-0.4375,0,0,0,0,0,0.02,314.6,-32669,0,0,37.77
276500,-0.25,0,0,0,0,0,0.02,385.49,-1236,0,0,44.78
276500,-0.25,0,0,0,0,0,0.02,436.65,-1236,0,0,51.01
276500,-0.25,0,0,0,0,0,0.02,471.75,-1236,0,0,51.01
278500,0,0,0,0,0,0,0.03,653.42,72650,0,0,60.38
278500,-0.1111,0,0,0,0,0,0.03,788.31,72650,0,0,67.38
279000,-0.0556,0,0,0,0,0,0.04,924.89,137517,0,0,71.35
275000,-0.5,100.18,0,0,0,0,0.04,702.27,-92658,0,0,50.04
274500,-0.5556,98.56,0,0.5,-114.94,0,0.04,479.97,-189327,0,0,44.47
272500,-1,98.55,-2000,0.4444,-166.07,0.0513,0.03,140.78,-277400,0,2285.71,40.39
271500,-0.8889,98.55,-7000,0.2667,-196.64,0.0622,0.02,-206.34,-396025,0,2142.86,29.82
271500,-0.8,98.55,-5000,0.3077,-169.21,0.0823,0,-475.95,-396025,0,2107.14,28.27
271500,-0.8,98.73,-4000,0.3333,-124.81,0.0997,-0.01,-681.75,-396025,0,2035.71,33.01
271500,-0.8,98.19,-4000,0.3333,-90.78,0.0972,-0.02,-835.23,-396025,0,2107.14,36.06
271500,-0.8,98.19,-3500,0.3478,-84.88,0.1022,-0.03,-945.96,-396025,0,2178.57,35.02
271000,-0.85,98.01,-5500,0.2381,-77.36,0.1066,-0.04,-1061.81,-435459,0,2107.14,31.89
270500,-0.9,97.13,-6000,0.2273,-86.42,0.1324,-0.05,-1180.37,-529033,0,2178.57,27.2
271500,-0.8,97.49,-5000,0.2917,-61.71,0.1429,-0.06,-1180.03,-482627,0,2250,30
271500,-0.8,97.31,-7000,0.15,-36.92,0.1402,-0.07,-1166.32,-482627,0,2178.57,28.2
270500,-0.8947,98.36,-8000,0.1364,-65.18,0.1615,-0.07,-1222.06,-556144,0,2178.57,21.18
269500,-1,98.18,-9500,0.087,-145.98,0.1867,-0.08,-1331.58,-643611,0,2214.29,15.19
269500,-1,98.9,-5500,0.1333,-18.42,0.2012,-0.08,-1402.2,-643611,0,2178.57,33.04
272500,-0.4286,100.37,-2000,0.4,0,0.198,-0.08,-1202.24,-566055,0,2321.43,36.1
268000,-0.875,98.71,-4500,0.32,-198.02,0.1738,-0.08,-1390.85,-644032,269719.78,2535.71,36.49
266000,-0.9,97.97,-5500,0.2963,-284.55,0.1719,-0.09,-1682.32,-743724,268445.05,2607.14,37.24
265500,-0.7917,97.79,-6000,0.2857,-230.19,0.1889,-0.1,-1931.39,-833683,267208.79,2678.57,38.45
271000,-0.3333,99.82,-500,0.4872,-39.19,0.1761,-0.1,-1665.77,-771142,267741.76,2964.29,38.96
270500,-0.375,99.82,-1000,0.475,2.17,0.165,-0.1,-1478.57,-813344,268148.35,3000,39.42
269500,-0.4583,99.63,-2000,0.4524,-7.4,0.1554,-0.09,-1394.82,-855825,268302.2,2964.29,39.85
269500,-0.4583,99.26,-1500,0.4634,6.09,0.153,-0.09,-1313.32,-855825,268434.07,3035.71,44.19
268000,-0.5833,98.71,-2500,0.4419,-53.03,0.1363,-0.09,-1354.15,-900161,268098.9,3071.43,46.49
268500,-0.5417,99.26,-3000,0.4286,-58.63,0.1286,-0.08,-1330.82,-855140,268164.84,3071.43,41.7
268000,-0.5833,99.44,-3500,0.4186,-54.65,0.122,-0.08,-1337.26,-898862,268186.81,3142.86,37.01
268500,-0.5417,99.63,-2000,0.4524,-22.01,0.1068,-0.08,-1287.19,-865390,268291.21,3142.86,42.3
269000,-0.5,98.72,-500,0.4878,6.45,0.0937,-0.08,-1193.4,-838582,268428.57,3107.14,48.44
268000,-0.4167,100,-1500,0.4651,-138.57,0.1594,-0.07,-1186.09,-1012278,268296.7,3285.71,25.69
267500,-0.4583,100.56,-5000,0.3684,-14.58,0.1859,-0.07,-1206.73,-1086960,268598.9,3285.71,31.84
268500,-0.25,101.13,500,0.5161,0,0.2089,-0.07,-1129.38,-1047490,268560.44,3000,37.85
270000,-0.1,99.63,4000,0.6333,63.85,0.206,-0.06,-936.25,-990286,268582.42,2964.29,46.77
268500,-0.25,99.26,3000,0.5938,29.74,0.2035,-0.06,-893.93,-1015622,267956.04,2892.86,50.69
267500,-0.35,99.26,-3500,0.3478,-74.11,0.2123,-0.05,-930.35,-1057062,267912.09,2607.14,43.64
267500,-0.35,99.26,-3000,0.3636,-124.38,0.2382,-0.05,-948.29,-1057062,267895.6,2642.86,37.55
267000,-0.4,99.63,-2500,0.381,-108.15,0.2606,-0.05,-991.42,-1096985,267659.34,2714.29,39.85
267000,-0.3684,99.44,-2500,0.381,-54.46,0.269,-0.05,-1013.91,-1096985,267505.49,2714.29,39.34
264500,-0.6316,98.69,-3500,0.3478,-163.42,0.2992,-0.05,-1219.41,-1173027,266456.04,2821.43,37.66
265500,-0.5263,98.88,-3000,0.375,-136.73,0.3253,-0.06,-1286.74,-1133012,265895.6,2785.71,37.94
263500,-0.7368,97.96,-4500,0.3333,-153.48,0.356,-0.06,-1484.38,-1188436,264774.73,2821.43,37.37
264000,-0.6842,98.51,-4500,0.3333,-150.41,0.3897,-0.07,-1582.42,-1119139,264032.97,2821.43,31.3
264000,-0.6842,98.69,-5000,0.3077,-111.73,0.419,-0.08,-1641.2,-1119139,263527.47,2785.71,31.23
264500,-0.75,98.51,-3500,0.36,-25.17,0.3826,-0.08,-1628.66,-938106,263153.85,2607.14,54.22
